new_formula,composition_vector,is_superconductor
B11H10S1I1,"[5, 11.0, 1, 10.0, 16, 1.0, 53, 1.0]",1
B6H10N1,"[5, 6.0, 1, 10.0, 7, 1.0]",1
B9H11,"[5, 9.0, 1, 11.0]",1
Ca1B12H12,"[20, 1.0, 5, 12.0, 1, 12.0]",1
Sr1B12H12,"[38, 1.0, 5, 12.0, 1, 12.0]",1
Ba1B12H12,"[56, 1.0, 5, 12.0, 1, 12.0]",1
Al1B3H12,"[13, 1.0, 5, 3.0, 1, 12.0]",1
K1Sr1B3H12,"[19, 1.0, 38, 1.0, 5, 3.0, 1, 12.0]",1
Rb1Sr1B3H12,"[37, 1.0, 38, 1.0, 5, 3.0, 1, 12.0]",1
Cs1Sr1B3H12,"[55, 1.0, 38, 1.0, 5, 3.0, 1, 12.0]",1
Y1B3H12,"[39, 1.0, 5, 3.0, 1, 12.0]",1
Ca3B4H12O3,"[20, 3.0, 5, 4.0, 1, 12.0, 8, 3.0]",1
B5H12N1O12,"[5, 5.0, 1, 12.0, 7, 1.0, 8, 12.0]",1
Cs3B6H12S4Br1,"[55, 3.0, 5, 6.0, 1, 12.0, 16, 4.0, 35, 1.0]",1
Cs3B6H12Se4Br1,"[55, 3.0, 5, 6.0, 1, 12.0, 34, 4.0, 35, 1.0]",1
Cd1B6H12N4O10,"[48, 1.0, 5, 6.0, 1, 12.0, 7, 4.0, 8, 10.0]",1
Na1Li1Si1B3H1O8,"[11, 1.0, 3, 1.0, 14, 1.0, 5, 3.0, 1, 1.0, 8, 8.0]",1
B10H13I1,"[5, 10.0, 1, 13.0, 53, 1.0]",1
Be2B1H1O4,"[4, 2.0, 5, 1.0, 1, 1.0, 8, 4.0]",1
B10H14S1,"[5, 10.0, 1, 14.0, 16, 1.0]",1
Fe3B11H1O20,"[26, 3.0, 5, 11.0, 1, 1.0, 8, 20.0]",1
Ca2B1H1N2,"[20, 2.0, 5, 1.0, 1, 1.0, 7, 2.0]",1
B1H1S3O11,"[5, 1.0, 1, 1.0, 16, 3.0, 8, 11.0]",1
B1H1O2,"[5, 1.0, 1, 1.0, 8, 2.0]",1
Na2B1H1O3,"[11, 2.0, 5, 1.0, 1, 1.0, 8, 3.0]",1
