new_formula,composition_vector,is_superconductor
Na10Ca1Sn12,"[11, 10.0, 20, 1.0, 50, 12.0]",1
Ca5P3H1,"[20, 5.0, 15, 3.0, 1, 1.0]",1
Ca1H1Cl1,"[20, 1.0, 1, 1.0, 17, 1.0]",1
Ca1Ga1Ge1H1,"[20, 1.0, 31, 1.0, 32, 1.0, 1, 1.0]",1
Ca1H1Br1,"[20, 1.0, 1, 1.0, 35, 1.0]",1
Ca1H1I1,"[20, 1.0, 1, 1.0, 53, 1.0]",1
Ca5Ge3H1,"[20, 5.0, 32, 3.0, 1, 1.0]",1
Ca5Sn3H1,"[20, 5.0, 50, 3.0, 1, 1.0]",1
Ca7H12Cl2,"[20, 7.0, 1, 12.0, 17, 2.0]",1
Ca4H12Rh3,"[20, 4.0, 1, 12.0, 45, 3.0]",1
Ca1B12H12,"[20, 1.0, 5, 12.0, 1, 12.0]",1
Ca3B4H12O3,"[20, 3.0, 5, 4.0, 1, 12.0, 8, 3.0]",1
Ca1Al6H12S4O28,"[20, 1.0, 13, 6.0, 1, 12.0, 16, 4.0, 8, 28.0]",1
Li1Ca3As2H1,"[3, 1.0, 20, 3.0, 33, 2.0, 1, 1.0]",1
Na3Ca3Al1As4,"[11, 3.0, 20, 3.0, 13, 1.0, 33, 4.0]",1
Na3Ca3Al1Sb4,"[11, 3.0, 20, 3.0, 13, 1.0, 51, 4.0]",1
Li1Ca2H1C3,"[3, 1.0, 20, 2.0, 1, 1.0, 6, 3.0]",1
Li1Ca2Mn2Si5H1O15,"[3, 1.0, 20, 2.0, 25, 2.0, 14, 5.0, 1, 1.0, 8, 15.0]",1
Ca2B1H1N2,"[20, 2.0, 5, 1.0, 1, 1.0, 7, 2.0]",1
Ca1B1H1O3,"[20, 1.0, 5, 1.0, 1, 1.0, 8, 3.0]",1
Ca1B3H1O6,"[20, 1.0, 5, 3.0, 1, 1.0, 8, 6.0]",1
Ca2H1N1,"[20, 2.0, 1, 1.0, 7, 1.0]",1
Ca6Cr2H1N6,"[20, 6.0, 24, 2.0, 1, 1.0, 7, 6.0]",1
Ca1H1Cl1O1,"[20, 1.0, 1, 1.0, 17, 1.0, 8, 1.0]",1
Ca5P3H1O13,"[20, 5.0, 15, 3.0, 1, 1.0, 8, 13.0]",1
K2Na1Ca2Ti1Si7H1O20,"[19, 2.0, 11, 1.0, 20, 2.0, 22, 1.0, 14, 7.0, 1, 1.0, 8, 20.0]",1
Na1Ca1Si1H1O4,"[11, 1.0, 20, 1.0, 14, 1.0, 1, 1.0, 8, 4.0]",1
Ca1P1H1O4,"[20, 1.0, 15, 1.0, 1, 1.0, 8, 4.0]",1
Ca1Ni1As1H1O5,"[20, 1.0, 28, 1.0, 33, 1.0, 1, 1.0, 8, 5.0]",1
Ca1Zn1As1H1O5,"[20, 1.0, 30, 1.0, 33, 1.0, 1, 1.0, 8, 5.0]",1
K1Ca4B22H18Cl1O46,"[19, 1.0, 20, 4.0, 5, 22.0, 1, 18.0, 17, 1.0, 8, 46.0]",0
Na1Ca1Al1P1H1O5F2,"[11, 1.0, 20, 1.0, 13, 1.0, 15, 1.0, 1, 1.0, 8, 5.0, 9, 2.0]",1
K3Ca1P2H1O8,"[19, 3.0, 20, 1.0, 15, 2.0, 1, 1.0, 8, 8.0]",1
Na1Ca2Si3H1O9,"[11, 1.0, 20, 2.0, 14, 3.0, 1, 1.0, 8, 9.0]",1
Ca1Fe2P2H1O9,"[20, 1.0, 26, 2.0, 15, 2.0, 1, 1.0, 8, 9.0]",1
Ca1As2H1F13,"[20, 1.0, 33, 2.0, 1, 1.0, 9, 13.0]",1
Ca4Mg1Al3,"[20, 4.0, 12, 1.0, 13, 3.0]",1
Ca1Mg1Si1,"[20, 1.0, 12, 1.0, 14, 1.0]",1
Ca1Mg1Ge1,"[20, 1.0, 12, 1.0, 32, 1.0]",1
Ca1Mg1Pd1,"[20, 1.0, 12, 1.0, 46, 1.0]",1
Ca1Mg1Sn1,"[20, 1.0, 12, 1.0, 50, 1.0]",1
Ca1Mg1Pb1,"[20, 1.0, 12, 1.0, 82, 1.0]",1
Ca2Mg1Pd2,"[20, 2.0, 12, 1.0, 46, 2.0]",1
Ca2Mg1Pt2,"[20, 2.0, 12, 1.0, 78, 2.0]",1
Ca1H2,"[20, 1.0, 1, 2.0]",1
Ca3Sn1H2,"[20, 3.0, 50, 1.0, 1, 2.0]",1
Ca4Mg4Fe3H22,"[20, 4.0, 12, 4.0, 26, 3.0, 1, 22.0]",1
Ca1Mg2,"[20, 1.0, 12, 2.0]",1
Ca10Mg2Sb9,"[20, 10.0, 12, 2.0, 51, 9.0]",1
Ca1Mg2As2,"[20, 1.0, 12, 2.0, 33, 2.0]",1
Ca1Mg2Sb2,"[20, 1.0, 12, 2.0, 51, 2.0]",1
Ca1Mg2Bi2,"[20, 1.0, 12, 2.0, 83, 2.0]",1
Ca3Be2Si3H2O12,"[20, 3.0, 4, 2.0, 14, 3.0, 1, 2.0, 8, 12.0]",1
Ca4Be2Al2Si9H2O28,"[20, 4.0, 4, 2.0, 13, 2.0, 14, 9.0, 1, 2.0, 8, 28.0]",1
Ca1H24C6Br2N12O6,"[20, 1.0, 1, 24.0, 6, 6.0, 35, 2.0, 7, 12.0, 8, 6.0]",0
Ca1H24Br2N8,"[20, 1.0, 1, 24.0, 35, 2.0, 7, 8.0]",1
