new_formula,composition_vector,is_superconductor
K2Na1H10I1O10,"[19, 2.0, 11, 1.0, 1, 10.0, 53, 1.0, 8, 10.0]",1
K2Na1Al1P2,"[19, 2.0, 11, 1.0, 13, 1.0, 15, 2.0]",1
K2Na1Al1As2,"[19, 2.0, 11, 1.0, 13, 1.0, 33, 2.0]",1
K2Na1Ga1P2,"[19, 2.0, 11, 1.0, 31, 1.0, 15, 2.0]",1
K2Na1In1P2,"[19, 2.0, 11, 1.0, 49, 1.0, 15, 2.0]",1
K1Na1S1,"[19, 1.0, 11, 1.0, 16, 1.0]",1
K2Na1Cr1Cl6,"[19, 2.0, 11, 1.0, 24, 1.0, 17, 6.0]",1
K3Na1Mn1Cl6,"[19, 3.0, 11, 1.0, 25, 1.0, 17, 6.0]",1
K1Na1Se1,"[19, 1.0, 11, 1.0, 34, 1.0]",1
K1Na1Te1,"[19, 1.0, 11, 1.0, 52, 1.0]",1
K2Na1Ga1As2,"[19, 2.0, 11, 1.0, 31, 1.0, 33, 2.0]",1
K2Na1In1As2,"[19, 2.0, 11, 1.0, 49, 1.0, 33, 2.0]",1
K2Na1In1Sb2,"[19, 2.0, 11, 1.0, 49, 1.0, 51, 2.0]",1
K3Na1Sn3Se8,"[19, 3.0, 11, 1.0, 50, 3.0, 34, 8.0]",1
K5Na1Ti6Se27,"[19, 5.0, 11, 1.0, 22, 6.0, 34, 27.0]",1
K7Na1Ge8,"[19, 7.0, 11, 1.0, 32, 8.0]",1
K6Na14Mg1Tl18,"[19, 6.0, 11, 14.0, 12, 1.0, 81, 18.0]",1
K6Na14Tl18Cd1,"[19, 6.0, 11, 14.0, 81, 18.0, 48, 1.0]",0
K1H1S1,"[19, 1.0, 1, 1.0, 16, 1.0]",1
K1H1,"[19, 1.0, 1, 1.0]",1
K3Na2Sn1P3,"[19, 3.0, 11, 2.0, 50, 1.0, 15, 3.0]",1
K1Na2Sb1,"[19, 1.0, 11, 2.0, 51, 1.0]",1
K3Na2Sn1As3,"[19, 3.0, 11, 2.0, 50, 1.0, 33, 3.0]",1
K3Na2Sn1Bi3,"[19, 3.0, 11, 2.0, 50, 1.0, 83, 3.0]",1
K1Sr1B3H12,"[19, 1.0, 38, 1.0, 5, 3.0, 1, 12.0]",1
K3Na26In48,"[19, 3.0, 11, 26.0, 49, 48.0]",1
K6In3H12N16O54,"[19, 6.0, 49, 3.0, 1, 12.0, 7, 16.0, 8, 54.0]",0
K2Sn1H12N6,"[19, 2.0, 50, 1.0, 1, 12.0, 7, 6.0]",1
K2Mg1H12Se2O14,"[19, 2.0, 12, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
K2Co1H12S2O14,"[19, 2.0, 27, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
K2Ni1H12S2O14,"[19, 2.0, 28, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
K2Ni1H12Se2O14,"[19, 2.0, 28, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
K2Zn1H12Se2O14,"[19, 2.0, 30, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
K2Zr2Ni1H12O6F12,"[19, 2.0, 40, 2.0, 28, 1.0, 1, 12.0, 8, 6.0, 9, 12.0]",1
K2Zr2Zn1H12O6F12,"[19, 2.0, 40, 2.0, 30, 1.0, 1, 12.0, 8, 6.0, 9, 12.0]",1
K6Na3Al1Sb4,"[19, 6.0, 11, 3.0, 13, 1.0, 51, 4.0]",1
K2Na3Si1P3,"[19, 2.0, 11, 3.0, 14, 1.0, 15, 3.0]",1
K6Na3Ga1Sb4,"[19, 6.0, 11, 3.0, 31, 1.0, 51, 4.0]",1
K2As1H13O10,"[19, 2.0, 33, 1.0, 1, 13.0, 8, 10.0]",1
K1Na4Ge1As3,"[19, 1.0, 11, 4.0, 32, 1.0, 33, 3.0]",1
K2Na4Zn1Sn2,"[19, 2.0, 11, 4.0, 30, 1.0, 50, 2.0]",1
K1Sc1B1P2H1O9,"[19, 1.0, 21, 1.0, 5, 1.0, 15, 2.0, 1, 1.0, 8, 9.0]",1
K1V1B1P2H1O9,"[19, 1.0, 23, 1.0, 5, 1.0, 15, 2.0, 1, 1.0, 8, 9.0]",1
K1Fe1B1P2H1O9,"[19, 1.0, 26, 1.0, 5, 1.0, 15, 2.0, 1, 1.0, 8, 9.0]",1
K1In1B1P2H1O9,"[19, 1.0, 49, 1.0, 5, 1.0, 15, 2.0, 1, 1.0, 8, 9.0]",1
K1H1C1O3,"[19, 1.0, 1, 1.0, 6, 1.0, 8, 3.0]",1
K5H1C2N4,"[19, 5.0, 1, 1.0, 6, 2.0, 7, 4.0]",1
K4Ba2B14H16O33,"[19, 4.0, 56, 2.0, 5, 14.0, 1, 16.0, 8, 33.0]",0
K1Al1B4H16,"[19, 1.0, 13, 1.0, 5, 4.0, 1, 16.0]",1
K1Gd1B4H16,"[19, 1.0, 64, 1.0, 5, 4.0, 1, 16.0]",1
K1Sr1As1H16O12,"[19, 1.0, 38, 1.0, 33, 1.0, 1, 16.0, 8, 12.0]",1
K1P1H1N1O2,"[19, 1.0, 15, 1.0, 1, 1.0, 7, 1.0, 8, 2.0]",1
K1Mn1P3H1O10,"[19, 1.0, 25, 1.0, 15, 3.0, 1, 1.0, 8, 10.0]",1
K1Sm1P3H1O10,"[19, 1.0, 62, 1.0, 15, 3.0, 1, 1.0, 8, 10.0]",1
K2In1Si4H1O11,"[19, 2.0, 49, 1.0, 14, 4.0, 1, 1.0, 8, 11.0]",1
K3H1S3O11,"[19, 3.0, 1, 1.0, 16, 3.0, 8, 11.0]",1
K2H1Br1O1,"[19, 2.0, 1, 1.0, 35, 1.0, 8, 1.0]",1
K1Fe2H1Se4O12,"[19, 1.0, 26, 2.0, 1, 1.0, 34, 4.0, 8, 12.0]",1
K3Cu2P4H1O14,"[19, 3.0, 29, 2.0, 15, 4.0, 1, 1.0, 8, 14.0]",1
K23Na8Cd12In48,"[19, 23.0, 11, 8.0, 48, 12.0, 49, 48.0]",0
K3Nb1H1O1F7,"[19, 3.0, 41, 1.0, 1, 1.0, 8, 1.0, 9, 7.0]",1
K2Na1Ca2Ti1Si7H1O20,"[19, 2.0, 11, 1.0, 20, 2.0, 22, 1.0, 14, 7.0, 1, 1.0, 8, 20.0]",1
K1Si1H1O3,"[19, 1.0, 14, 1.0, 1, 1.0, 8, 3.0]",1
K1P1H1O3F1,"[19, 1.0, 15, 1.0, 1, 1.0, 8, 3.0, 9, 1.0]",1
K2P1H1O4,"[19, 2.0, 15, 1.0, 1, 1.0, 8, 4.0]",1
K1H1S1O4,"[19, 1.0, 1, 1.0, 16, 1.0, 8, 4.0]",1
K1H1Se1O4,"[19, 1.0, 1, 1.0, 34, 1.0, 8, 4.0]",1
K1Si2H1O5,"[19, 1.0, 14, 2.0, 1, 1.0, 8, 5.0]",1
K1B21H18,"[19, 1.0, 5, 21.0, 1, 18.0]",1
K1Ca4B22H18Cl1O46,"[19, 1.0, 20, 4.0, 5, 22.0, 1, 18.0, 17, 1.0, 8, 46.0]",1
K1V1P1H1O6,"[19, 1.0, 23, 1.0, 15, 1.0, 1, 1.0, 8, 6.0]",1
K2H1I2Cl1O6,"[19, 2.0, 1, 1.0, 53, 2.0, 17, 1.0, 8, 6.0]",1
K1As2H1O6,"[19, 1.0, 33, 2.0, 1, 1.0, 8, 6.0]",1
K1H1I2O6,"[19, 1.0, 1, 1.0, 53, 2.0, 8, 6.0]",1
K1H1S2O7,"[19, 1.0, 1, 1.0, 16, 2.0, 8, 7.0]",1
K1V1H1Se2O7,"[19, 1.0, 23, 1.0, 1, 1.0, 34, 2.0, 8, 7.0]",1
K1Zn2P2H1O8,"[19, 1.0, 30, 2.0, 15, 2.0, 1, 1.0, 8, 8.0]",1
K3Ca1P2H1O8,"[19, 3.0, 20, 1.0, 15, 2.0, 1, 1.0, 8, 8.0]",1
K3H1S2O8,"[19, 3.0, 1, 1.0, 16, 2.0, 8, 8.0]",1
K1Co2As2H1O8,"[19, 1.0, 27, 2.0, 33, 2.0, 1, 1.0, 8, 8.0]",1
K4Na2H18Pd1I2O20,"[19, 4.0, 11, 2.0, 1, 18.0, 46, 1.0, 53, 2.0, 8, 20.0]",1
K1Mn2P2H1O9,"[19, 1.0, 25, 2.0, 15, 2.0, 1, 1.0, 8, 9.0]",1
K1H1I2F12,"[19, 1.0, 1, 1.0, 53, 2.0, 9, 12.0]",1
K16Na9Tl18Cd3,"[19, 16.0, 11, 9.0, 81, 18.0, 48, 3.0]",0
K1H1F2,"[19, 1.0, 1, 1.0, 9, 2.0]",1
K2Ti1H1F7,"[19, 2.0, 22, 1.0, 1, 1.0, 9, 7.0]",1
K2Zr1H1F7,"[19, 2.0, 40, 1.0, 1, 1.0, 9, 7.0]",1
K3Sn1H1F8,"[19, 3.0, 50, 1.0, 1, 1.0, 9, 8.0]",1
K1Mg1P1,"[19, 1.0, 12, 1.0, 15, 1.0]",1
K2Mg1P2Se6,"[19, 2.0, 12, 1.0, 15, 2.0, 34, 6.0]",1
K2Mg1Cl4,"[19, 2.0, 12, 1.0, 17, 4.0]",1
K1Mg1As1,"[19, 1.0, 12, 1.0, 33, 1.0]",1
K1Mg1Sb1,"[19, 1.0, 12, 1.0, 51, 1.0]",1
K1Mg1Bi1,"[19, 1.0, 12, 1.0, 83, 1.0]",1
K1Mn1B1P2H2O9,"[19, 1.0, 25, 1.0, 5, 1.0, 15, 2.0, 1, 2.0, 8, 9.0]",1
K2Mg5Sn3,"[19, 2.0, 12, 5.0, 50, 3.0]",1
K1Al1H2C1O5,"[19, 1.0, 13, 1.0, 1, 2.0, 6, 1.0, 8, 5.0]",1
K1H2N1,"[19, 1.0, 1, 2.0, 7, 1.0]",1
K3Ge1H2N1O3,"[19, 3.0, 32, 1.0, 1, 2.0, 7, 1.0, 8, 3.0]",1
