new_formula,composition_vector,is_superconductor
Li2Sn1H10O8,"[3, 2.0, 50, 1.0, 1, 10.0, 8, 8.0]",1
Rb1Li1H12Se3N4,"[37, 1.0, 3, 1.0, 1, 12.0, 34, 3.0, 7, 4.0]",1
Li1Te1H12N4,"[3, 1.0, 52, 1.0, 1, 12.0, 7, 4.0]",1
Li4Zn1H12N6,"[3, 4.0, 30, 1.0, 1, 12.0, 7, 6.0]",1
Li1H1,"[3, 1.0, 1, 1.0]",1
Li1H1S1,"[3, 1.0, 1, 1.0, 16, 1.0]",1
Li1Ca3As2H1,"[3, 1.0, 20, 3.0, 33, 2.0, 1, 1.0]",1
Sr3Li1As2H1,"[38, 3.0, 3, 1.0, 33, 2.0, 1, 1.0]",1
Li1H1Pd1,"[3, 1.0, 1, 1.0, 46, 1.0]",1
Na1Li1Si1B3H1O8,"[11, 1.0, 3, 1.0, 14, 1.0, 5, 3.0, 1, 1.0, 8, 8.0]",1
Li1Ca2H1C3,"[3, 1.0, 20, 2.0, 1, 1.0, 6, 3.0]",1
Li1H1O1,"[3, 1.0, 1, 1.0, 8, 1.0]",1
Li1Ca2Mn2Si5H1O15,"[3, 1.0, 20, 2.0, 25, 2.0, 14, 5.0, 1, 1.0, 8, 15.0]",1
Li1Tl1P1H1O3,"[3, 1.0, 81, 1.0, 15, 1.0, 1, 1.0, 8, 3.0]",1
Li1H1Se1O3,"[3, 1.0, 1, 1.0, 34, 1.0, 8, 3.0]",1
Li1H1S1O4,"[3, 1.0, 1, 1.0, 16, 1.0, 8, 4.0]",1
Li1Fe1P1H1O5,"[3, 1.0, 26, 1.0, 15, 1.0, 1, 1.0, 8, 5.0]",1
Li1Fe1H1S1O5,"[3, 1.0, 26, 1.0, 1, 1.0, 16, 1.0, 8, 5.0]",1
Li1Zn1P2H1O7,"[3, 1.0, 30, 1.0, 15, 2.0, 1, 1.0, 8, 7.0]",1
Li1Cd2H1Se2O7,"[3, 1.0, 48, 2.0, 1, 1.0, 34, 2.0, 8, 7.0]",1
Li1H1F2,"[3, 1.0, 1, 1.0, 9, 2.0]",1
Li2H1N1,"[3, 2.0, 1, 1.0, 7, 1.0]",1
Li2H1I1O1,"[3, 2.0, 1, 1.0, 53, 1.0, 8, 1.0]",1
Li3Te1H1O4,"[3, 3.0, 52, 1.0, 1, 1.0, 8, 4.0]",1
Li4H1N1,"[3, 4.0, 1, 1.0, 7, 1.0]",1
Li2Sn1H14Se3O7,"[3, 2.0, 50, 1.0, 1, 14.0, 34, 3.0, 8, 7.0]",1
Li3As1H16S4O8,"[3, 3.0, 33, 1.0, 1, 16.0, 16, 4.0, 8, 8.0]",1
Li1Zr3H18N4F19,"[3, 1.0, 40, 3.0, 1, 18.0, 7, 4.0, 9, 19.0]",1
Li1Zn2B5H20,"[3, 1.0, 30, 2.0, 5, 5.0, 1, 20.0]",1
Li1P1H21S3N7,"[3, 1.0, 15, 1.0, 1, 21.0, 16, 3.0, 7, 7.0]",1
Li1B5H2O9,"[3, 1.0, 5, 5.0, 1, 2.0, 8, 9.0]",1
Li1H2N1,"[3, 1.0, 1, 2.0, 7, 1.0]",1
Li1H2Br1O1,"[3, 1.0, 1, 2.0, 35, 1.0, 8, 1.0]",1
Li1P1H2O2,"[3, 1.0, 15, 1.0, 1, 2.0, 8, 2.0]",1
Li1P1H2O4,"[3, 1.0, 15, 1.0, 1, 2.0, 8, 4.0]",1
Li1H2Cl1O5,"[3, 1.0, 1, 2.0, 17, 1.0, 8, 5.0]",1
Li1H2Br1O5,"[3, 1.0, 1, 2.0, 35, 1.0, 8, 5.0]",1
Li1Sc1H2Se2O7,"[3, 1.0, 21, 1.0, 1, 2.0, 34, 2.0, 8, 7.0]",1
Li1As3H2O9,"[3, 1.0, 33, 3.0, 1, 2.0, 8, 9.0]",1
Rb4Li1Zr3H2F19,"[37, 4.0, 3, 1.0, 40, 3.0, 1, 2.0, 9, 19.0]",1
Li2H2Pd1,"[3, 2.0, 1, 2.0, 46, 1.0]",1
Li2Mg1H2N2,"[3, 2.0, 12, 1.0, 1, 2.0, 7, 2.0]",1
