new_formula,composition_vector,is_superconductor
Rb4Mg3H10,"[37, 4.0, 12, 3.0, 1, 10.0]",1
Cs4Mg3H10,"[55, 4.0, 12, 3.0, 1, 10.0]",1
Ba2Mg3H10,"[56, 2.0, 12, 3.0, 1, 10.0]",1
Na1Mg1As1,"[11, 1.0, 12, 1.0, 33, 1.0]",1
Na1Mg1Sb1,"[11, 1.0, 12, 1.0, 51, 1.0]",1
K6Na14Mg1Tl18,"[19, 6.0, 11, 14.0, 12, 1.0, 81, 18.0]",0
Na2Mg1Sn1,"[11, 2.0, 12, 1.0, 50, 1.0]",1
Na2Mg1Pb1,"[11, 2.0, 12, 1.0, 82, 1.0]",1
Mg1H12N2O12,"[12, 1.0, 1, 12.0, 7, 2.0, 8, 12.0]",1
Rb1Mg1P1H12O10,"[37, 1.0, 12, 1.0, 15, 1.0, 1, 12.0, 8, 10.0]",1
Cs1Mg1P1H12O10,"[55, 1.0, 12, 1.0, 15, 1.0, 1, 12.0, 8, 10.0]",1
Mg1Tl1P1H12O10,"[12, 1.0, 81, 1.0, 15, 1.0, 1, 12.0, 8, 10.0]",1
Rb1Mg1As1H12O10,"[37, 1.0, 12, 1.0, 33, 1.0, 1, 12.0, 8, 10.0]",1
Cs1Mg1As1H12O10,"[55, 1.0, 12, 1.0, 33, 1.0, 1, 12.0, 8, 10.0]",1
Mg1Tl1As1H12O10,"[12, 1.0, 81, 1.0, 33, 1.0, 1, 12.0, 8, 10.0]",0
Mg1H12Br2O12,"[12, 1.0, 1, 12.0, 35, 2.0, 8, 12.0]",1
Rb2Mg1H12S2O14,"[37, 2.0, 12, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
Cs2Mg1H12S2O14,"[55, 2.0, 12, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
Mg1Tl2H12S2O14,"[12, 1.0, 81, 2.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
K2Mg1H12Se2O14,"[19, 2.0, 12, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
Rb2Mg1H12Se2O14,"[37, 2.0, 12, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
Cs2Mg1H12Se2O14,"[55, 2.0, 12, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
Mg1Tl2H12Se2O14,"[12, 1.0, 81, 2.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
Cs1Mg1H12Cl3O6,"[55, 1.0, 12, 1.0, 1, 12.0, 17, 3.0, 8, 6.0]",1
Mg1Zn2H12Br6O6,"[12, 1.0, 30, 2.0, 1, 12.0, 35, 6.0, 8, 6.0]",1
Mg1H12I8O6,"[12, 1.0, 1, 12.0, 53, 8.0, 8, 6.0]",1
Mg1H12Se1O9,"[12, 1.0, 1, 12.0, 34, 1.0, 8, 9.0]",1
Mg2Be3P3H13O19,"[12, 2.0, 4, 3.0, 15, 3.0, 1, 13.0, 8, 19.0]",1
Na4Mg1Si2Se6,"[11, 4.0, 12, 1.0, 14, 2.0, 34, 6.0]",1
Na4Mg1Ge2Se6,"[11, 4.0, 12, 1.0, 32, 2.0, 34, 6.0]",1
Mg1B1H1O3,"[12, 1.0, 5, 1.0, 1, 1.0, 8, 3.0]",1
Na6Mg1Cl8,"[11, 6.0, 12, 1.0, 17, 8.0]",1
Mg1H16I2O8,"[12, 1.0, 1, 16.0, 53, 2.0, 8, 8.0]",1
Mg1H1N1,"[12, 1.0, 1, 1.0, 7, 1.0]",1
Mg1H1O1F1,"[12, 1.0, 1, 1.0, 8, 1.0, 9, 1.0]",1
Mg2P1H1O5,"[12, 2.0, 15, 1.0, 1, 1.0, 8, 5.0]",1
Na1Mg2H1Se2O7,"[11, 1.0, 12, 2.0, 1, 1.0, 34, 2.0, 8, 7.0]",1
Na3Mg1P2H1O8,"[11, 3.0, 12, 1.0, 15, 2.0, 1, 1.0, 8, 8.0]",1
Mg1H18Br2O9,"[12, 1.0, 1, 18.0, 35, 2.0, 8, 9.0]",1
Mg1H18I2O9,"[12, 1.0, 1, 18.0, 53, 2.0, 8, 9.0]",1
Mg1H1Au2F11,"[12, 1.0, 1, 1.0, 79, 2.0, 9, 11.0]",1
Mg1U2P2H20O22,"[12, 1.0, 92, 2.0, 15, 2.0, 1, 20.0, 8, 22.0]",0
Mg1,"[12, 1.0]",1
La3Mg1Al1S7,"[57, 3.0, 12, 1.0, 13, 1.0, 16, 7.0]",1
Y1Mg1Al1,"[39, 1.0, 12, 1.0, 13, 1.0]",1
Mg1Al2S4,"[12, 1.0, 13, 2.0, 16, 4.0]",1
Mg1Al2Cl8,"[12, 1.0, 13, 2.0, 17, 8.0]",1
Mg1Al2Cu1,"[12, 1.0, 13, 2.0, 29, 1.0]",1
Ca4Mg1Al3,"[20, 4.0, 12, 1.0, 13, 3.0]",1
Mg1Si1P2,"[12, 1.0, 14, 1.0, 15, 2.0]",1
Mg1Cu2Si1S4,"[12, 1.0, 29, 2.0, 14, 1.0, 16, 4.0]",1
Ca1Mg1Si1,"[20, 1.0, 12, 1.0, 14, 1.0]",1
Mg1Cu2Si1Se4,"[12, 1.0, 29, 2.0, 14, 1.0, 34, 4.0]",1
Mg1Si1As2,"[12, 1.0, 14, 1.0, 33, 2.0]",1
Sr1Mg1Si1,"[38, 1.0, 12, 1.0, 14, 1.0]",1
Ba1Mg1Si1,"[56, 1.0, 12, 1.0, 14, 1.0]",1
Eu1Mg1Si1,"[63, 1.0, 12, 1.0, 14, 1.0]",1
Sr1Mg1Si2,"[38, 1.0, 12, 1.0, 14, 2.0]",1
Y2Mg1Si2,"[39, 2.0, 12, 1.0, 14, 2.0]",1
La1Mg1Si2,"[57, 1.0, 12, 1.0, 14, 2.0]",1
La2Mg1Si2,"[57, 2.0, 12, 1.0, 14, 2.0]",1
Ce1Mg1Si2,"[58, 1.0, 12, 1.0, 14, 2.0]",1
Ce2Mg1Si2,"[58, 2.0, 12, 1.0, 14, 2.0]",1
Pr1Mg1Si2,"[59, 1.0, 12, 1.0, 14, 2.0]",1
Pr2Mg1Si2,"[59, 2.0, 12, 1.0, 14, 2.0]",1
Nd1Mg1Si2,"[60, 1.0, 12, 1.0, 14, 2.0]",1
Nd2Mg1Si2,"[60, 2.0, 12, 1.0, 14, 2.0]",1
Sm2Mg1Si2,"[62, 2.0, 12, 1.0, 14, 2.0]",1
Gd2Mg1Si2,"[64, 2.0, 12, 1.0, 14, 2.0]",1
Tb2Mg1Si2,"[65, 2.0, 12, 1.0, 14, 2.0]",1
Dy2Mg1Si2,"[66, 2.0, 12, 1.0, 14, 2.0]",1
Ho2Mg1Si2,"[67, 2.0, 12, 1.0, 14, 2.0]",1
Er2Mg1Si2,"[68, 2.0, 12, 1.0, 14, 2.0]",1
Tm2Mg1Si2,"[69, 2.0, 12, 1.0, 14, 2.0]",1
Mg1Si7Ir3,"[12, 1.0, 14, 7.0, 77, 3.0]",1
Mg1P1S3,"[12, 1.0, 15, 1.0, 16, 3.0]",1
K1Mg1P1,"[19, 1.0, 12, 1.0, 15, 1.0]",1
Mg1Ni2P1,"[12, 1.0, 28, 2.0, 15, 1.0]",1
Mg1Cu1P1,"[12, 1.0, 29, 1.0, 15, 1.0]",1
Mg1P1Se3,"[12, 1.0, 15, 1.0, 34, 3.0]",1
Mg1P1Pd5,"[12, 1.0, 15, 1.0, 46, 5.0]",1
Mg1P1Pt5,"[12, 1.0, 15, 1.0, 78, 5.0]",1
K2Mg1P2Se6,"[19, 2.0, 12, 1.0, 15, 2.0, 34, 6.0]",1
Mg1P4,"[12, 1.0, 15, 4.0]",1
Mg1Co6P4,"[12, 1.0, 27, 6.0, 15, 4.0]",1
Mg1S1,"[12, 1.0, 16, 1.0]",1
Mg1Sc2S4,"[12, 1.0, 21, 2.0, 16, 4.0]",1
Mg1Ga2S4,"[12, 1.0, 31, 2.0, 16, 4.0]",1
Mg1In2S4,"[12, 1.0, 49, 2.0, 16, 4.0]",1
Lu2Mg1S4,"[71, 2.0, 12, 1.0, 16, 4.0]",1
