new_formula,composition_vector,is_superconductor
Ni1H10Se2O10,"[28, 1.0, 1, 10.0, 34, 2.0, 8, 10.0]",1
Na1Al3Ni1Cl12,"[11, 1.0, 13, 3.0, 28, 1.0, 17, 12.0]",1
Ni1H12N2O12,"[28, 1.0, 1, 12.0, 7, 2.0, 8, 12.0]",1
Ni1H1,"[28, 1.0, 1, 1.0]",1
Ni1H12Cl2O12,"[28, 1.0, 1, 12.0, 17, 2.0, 8, 12.0]",1
K2Ni1H12S2O14,"[19, 2.0, 28, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
Rb2Ni1H12S2O14,"[37, 2.0, 28, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
Cs2Ni1H12S2O14,"[55, 2.0, 28, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
Tl2Ni1H12S2O14,"[81, 2.0, 28, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]",1
K2Ni1H12Se2O14,"[19, 2.0, 28, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
Rb2Ni1H12Se2O14,"[37, 2.0, 28, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
Tl2Ni1H12Se2O14,"[81, 2.0, 28, 1.0, 1, 12.0, 34, 2.0, 8, 14.0]",1
Ni1H12Br2O14,"[28, 1.0, 1, 12.0, 35, 2.0, 8, 14.0]",1
La1Ni1Sn1H1,"[57, 1.0, 28, 1.0, 50, 1.0, 1, 1.0]",1
Ce1Ni1Sn1H1,"[58, 1.0, 28, 1.0, 50, 1.0, 1, 1.0]",1
Pr1Ni1Sn1H1,"[59, 1.0, 28, 1.0, 50, 1.0, 1, 1.0]",1
Nd1Ni1Sn1H1,"[60, 1.0, 28, 1.0, 50, 1.0, 1, 1.0]",1
Ni1H12Cl2O6,"[28, 1.0, 1, 12.0, 17, 2.0, 8, 6.0]",1
K2Zr2Ni1H12O6F12,"[19, 2.0, 40, 2.0, 28, 1.0, 1, 12.0, 8, 6.0, 9, 12.0]",1
Ni1Sn1H12O6F6,"[28, 1.0, 50, 1.0, 1, 12.0, 8, 6.0, 9, 6.0]",1
Ni1Sn2H12O6F6,"[28, 1.0, 50, 2.0, 1, 12.0, 8, 6.0, 9, 6.0]",1
Ni1Sb2H12O6F8,"[28, 1.0, 51, 2.0, 1, 12.0, 8, 6.0, 9, 8.0]",1
V1Ni1H14O8F4,"[23, 1.0, 28, 1.0, 1, 14.0, 8, 8.0, 9, 4.0]",1
U1Ni1H14O9F4,"[92, 1.0, 28, 1.0, 1, 14.0, 8, 9.0, 9, 4.0]",1
Ni1P1H16N1O10,"[28, 1.0, 15, 1.0, 1, 16.0, 7, 1.0, 8, 10.0]",1
Ni1P4H16N2O16,"[28, 1.0, 15, 4.0, 1, 16.0, 7, 2.0, 8, 16.0]",1
Ca1Ni1As1H1O5,"[20, 1.0, 28, 1.0, 33, 1.0, 1, 1.0, 8, 5.0]",1
Be2Ni1H20N2O6F8,"[4, 2.0, 28, 1.0, 1, 20.0, 7, 2.0, 8, 6.0, 9, 8.0]",1
Ni1H20S2N2O14,"[28, 1.0, 1, 20.0, 16, 2.0, 7, 2.0, 8, 14.0]",1
Mg1Ni2P1,"[12, 1.0, 28, 2.0, 15, 1.0]",1
Mg1Ni1Ge1,"[12, 1.0, 28, 1.0, 32, 1.0]",1
Y4Mg1Ni1,"[39, 4.0, 12, 1.0, 28, 1.0]",1
Mg1Ni1Sb1,"[12, 1.0, 28, 1.0, 51, 1.0]",1
