new_formula,composition_vector
Al1H10N2O1F5,"[13, 1.0, 1, 10.0, 7, 2.0, 8, 1.0, 9, 5.0]"
Al1H10S1O9F1,"[13, 1.0, 1, 10.0, 16, 1.0, 8, 9.0, 9, 1.0]"
Na1Al1Si1,"[11, 1.0, 13, 1.0, 14, 1.0]"
Na1Al1P2S6,"[11, 1.0, 13, 1.0, 15, 2.0, 16, 6.0]"
K2Na1Al1P2,"[19, 2.0, 11, 1.0, 13, 1.0, 15, 2.0]"
Na1Sr2Al1P3,"[11, 1.0, 38, 2.0, 13, 1.0, 15, 3.0]"
Na1Eu2Al1P3,"[11, 1.0, 63, 2.0, 13, 1.0, 15, 3.0]"
Na1Al1Cl4,"[11, 1.0, 13, 1.0, 17, 4.0]"
K2Na1Al1As2,"[19, 2.0, 11, 1.0, 13, 1.0, 33, 2.0]"
Na1Al1Ge1,"[11, 1.0, 13, 1.0, 32, 1.0]"
Na1Al1Se2,"[11, 1.0, 13, 1.0, 34, 2.0]"
Na1Al1Br4,"[11, 1.0, 13, 1.0, 35, 4.0]"
Na1Al1Te2,"[11, 1.0, 13, 1.0, 52, 2.0]"
Na1Al1I4,"[11, 1.0, 13, 1.0, 53, 4.0]"
Na1Al3Ni1Cl12,"[11, 1.0, 13, 3.0, 28, 1.0, 17, 12.0]"
Na1Al6Sb7Te8Cl24,"[11, 1.0, 13, 6.0, 51, 7.0, 52, 8.0, 17, 24.0]"
Sr1Al1Si1H1,"[38, 1.0, 13, 1.0, 14, 1.0, 1, 1.0]"
Ba1Al1Si1H1,"[56, 1.0, 13, 1.0, 14, 1.0, 1, 1.0]"
Al1Fe3H1,"[13, 1.0, 26, 3.0, 1, 1.0]"
Sr1Al1Ge1H1,"[38, 1.0, 13, 1.0, 32, 1.0, 1, 1.0]"
Ba1Al1Ge1H1,"[56, 1.0, 13, 1.0, 32, 1.0, 1, 1.0]"
Al1H11S1O10,"[13, 1.0, 1, 11.0, 16, 1.0, 8, 10.0]"
Na2Al2As3,"[11, 2.0, 13, 2.0, 33, 3.0]"
Al1B3H12,"[13, 1.0, 5, 3.0, 1, 12.0]"
Al1H12N3O15,"[13, 1.0, 1, 12.0, 7, 3.0, 8, 15.0]"
Al1P2H12N3O8,"[13, 1.0, 15, 2.0, 1, 12.0, 7, 3.0, 8, 8.0]"
Na1Al1H12S2O14,"[11, 1.0, 13, 1.0, 1, 12.0, 16, 2.0, 8, 14.0]"
Al2H12Se3O15,"[13, 2.0, 1, 12.0, 34, 3.0, 8, 15.0]"
Ca1Al6H12S4O28,"[20, 1.0, 13, 6.0, 1, 12.0, 16, 4.0, 8, 28.0]"
Al1H12Cl3O6,"[13, 1.0, 1, 12.0, 17, 3.0, 8, 6.0]"
Na3Al1P2,"[11, 3.0, 13, 1.0, 15, 2.0]"
Na3Al1S3,"[11, 3.0, 13, 1.0, 16, 3.0]"
K6Na3Al1Sb4,"[19, 6.0, 11, 3.0, 13, 1.0, 51, 4.0]"
Na3Ca3Al1As4,"[11, 3.0, 20, 3.0, 13, 1.0, 33, 4.0]"
Na3Ca3Al1Sb4,"[11, 3.0, 20, 3.0, 13, 1.0, 51, 4.0]"
Na3Al1As2,"[11, 3.0, 13, 1.0, 33, 2.0]"
Na3Al1Se3,"[11, 3.0, 13, 1.0, 34, 3.0]"
Na3Al1Te3,"[11, 3.0, 13, 1.0, 52, 3.0]"
Na5Al3H14,"[11, 5.0, 13, 3.0, 1, 14.0]"
Al1H14Se1N1O14,"[13, 1.0, 1, 14.0, 34, 1.0, 7, 1.0, 8, 14.0]"
Rb1Al1B1P2H1O9,"[37, 1.0, 13, 1.0, 5, 1.0, 15, 2.0, 1, 1.0, 8, 9.0]"
Cs1Al1B1P2H1O9,"[55, 1.0, 13, 1.0, 5, 1.0, 15, 2.0, 1, 1.0, 8, 9.0]"
Al2B3H1O8,"[13, 2.0, 5, 3.0, 1, 1.0, 8, 8.0]"
Al1H15N5Cl3,"[13, 1.0, 1, 15.0, 7, 5.0, 17, 3.0]"
Al1H15Br3N5,"[13, 1.0, 1, 15.0, 35, 3.0, 7, 5.0]"
K1Al1B4H16,"[19, 1.0, 13, 1.0, 5, 4.0, 1, 16.0]"
Al2H16S3O20,"[13, 2.0, 1, 16.0, 16, 3.0, 8, 20.0]"
Na7Al2Sb5,"[11, 7.0, 13, 2.0, 51, 5.0]"
Al1H1O2,"[13, 1.0, 1, 1.0, 8, 2.0]"
Ba3Al1H1O4,"[56, 3.0, 13, 1.0, 1, 1.0, 8, 4.0]"
Al1H1S1O5,"[13, 1.0, 1, 1.0, 16, 1.0, 8, 5.0]"
Na1Ca1Al1P1H1O5F2,"[11, 1.0, 20, 1.0, 13, 1.0, 15, 1.0, 1, 1.0, 8, 5.0, 9, 2.0]"
Al1H18C3N9F6,"[13, 1.0, 1, 18.0, 6, 3.0, 7, 9.0, 9, 6.0]"
Na1Al2H18S4N4Cl1O18,"[11, 1.0, 13, 2.0, 1, 18.0, 16, 4.0, 7, 4.0, 17, 1.0, 8, 18.0]"
Na2Al1Si3H1O9,"[11, 2.0, 13, 1.0, 14, 3.0, 1, 1.0, 8, 9.0]"
Na4Al1P2H1O9,"[11, 4.0, 13, 1.0, 15, 2.0, 1, 1.0, 8, 9.0]"
La3Mg1Al1S7,"[57, 3.0, 12, 1.0, 13, 1.0, 16, 7.0]"
Y1Mg1Al1,"[39, 1.0, 12, 1.0, 13, 1.0]"
Mg1Al2S4,"[12, 1.0, 13, 2.0, 16, 4.0]"
Mg1Al2Cl8,"[12, 1.0, 13, 2.0, 17, 8.0]"
Mg1Al2Cu1,"[12, 1.0, 13, 2.0, 29, 1.0]"
Ca4Mg1Al3,"[20, 4.0, 12, 1.0, 13, 3.0]"
Mg17Al12,"[12, 17.0, 13, 12.0]"
Mg2Al2Se5,"[12, 2.0, 13, 2.0, 34, 5.0]"
Mg2Al5Cu6,"[12, 2.0, 13, 5.0, 29, 6.0]"
Mg3Ti2Al18,"[12, 3.0, 22, 2.0, 13, 18.0]"
Mg3Al18V2,"[12, 3.0, 13, 18.0, 23, 2.0]"
Mg3Al18Cr2,"[12, 3.0, 13, 18.0, 24, 2.0]"
Mg3Al18Mo2,"[12, 3.0, 13, 18.0, 42, 2.0]"
Mg3Ta2Al18,"[12, 3.0, 73, 2.0, 13, 18.0]"
Mg3Al18W2,"[12, 3.0, 13, 18.0, 74, 2.0]"
Ca4Be2Al2Si9H2O28,"[20, 4.0, 4, 2.0, 13, 2.0, 14, 9.0, 1, 2.0, 8, 28.0]"
Cs1Al1H24S2O20,"[55, 1.0, 13, 1.0, 1, 24.0, 16, 2.0, 8, 20.0]"
Cs1Al1H24Se2O20,"[55, 1.0, 13, 1.0, 1, 24.0, 34, 2.0, 8, 20.0]"
Na1Al1H2C1O5,"[11, 1.0, 13, 1.0, 1, 2.0, 6, 1.0, 8, 5.0]"
K1Al1H2C1O5,"[19, 1.0, 13, 1.0, 1, 2.0, 6, 1.0, 8, 5.0]"
Na7Al1H2C4O12F4,"[11, 7.0, 13, 1.0, 1, 2.0, 6, 4.0, 8, 12.0, 9, 4.0]"
Al1H2Pb1O2F3,"[13, 1.0, 1, 2.0, 82, 1.0, 8, 2.0, 9, 3.0]"
Na3Al1P2H2O9,"[11, 3.0, 13, 1.0, 15, 2.0, 1, 2.0, 8, 9.0]"
Al1,"[13, 1.0]"
Y1Al10Fe2,"[39, 1.0, 13, 10.0, 26, 2.0]"
Ce1Al10Fe2,"[58, 1.0, 13, 10.0, 26, 2.0]"
Tb1Al10Fe2,"[65, 1.0, 13, 10.0, 26, 2.0]"
Dy1Al10Fe2,"[66, 1.0, 13, 10.0, 26, 2.0]"
Ho1Al10Fe2,"[67, 1.0, 13, 10.0, 26, 2.0]"
Er1Al10Fe2,"[68, 1.0, 13, 10.0, 26, 2.0]"
Tm1Al10Fe2,"[69, 1.0, 13, 10.0, 26, 2.0]"
Lu1Al10Fe2,"[71, 1.0, 13, 10.0, 26, 2.0]"
Th1Al10Fe2,"[90, 1.0, 13, 10.0, 26, 2.0]"
U1Al10Fe2,"[92, 1.0, 13, 10.0, 26, 2.0]"
Y1Al10Ru2,"[39, 1.0, 13, 10.0, 44, 2.0]"
Y1Al10Re2,"[39, 1.0, 13, 10.0, 75, 2.0]"
La1Al10Ru2,"[57, 1.0, 13, 10.0, 44, 2.0]"
Ce1Al10Ru2,"[58, 1.0, 13, 10.0, 44, 2.0]"
Pr1Al10Ru2,"[59, 1.0, 13, 10.0, 44, 2.0]"
Nd1Al10Ru2,"[60, 1.0, 13, 10.0, 44, 2.0]"
Sm1Al10Ru2,"[62, 1.0, 13, 10.0, 44, 2.0]"
Gd1Al10Ru2,"[64, 1.0, 13, 10.0, 44, 2.0]"
Tb1Al10Ru2,"[65, 1.0, 13, 10.0, 44, 2.0]"
Ho1Al10Ru2,"[67, 1.0, 13, 10.0, 44, 2.0]"
Er1Al10Ru2,"[68, 1.0, 13, 10.0, 44, 2.0]"
U1Al10Ru2,"[92, 1.0, 13, 10.0, 44, 2.0]"
Ba7Al10,"[56, 7.0, 13, 10.0]"
Pr1Al10Os2,"[59, 1.0, 13, 10.0, 76, 2.0]"
Nd1Al10Os2,"[60, 1.0, 13, 10.0, 76, 2.0]"
Tb1Al10Re2,"[65, 1.0, 13, 10.0, 75, 2.0]"
Dy1Al10Re2,"[66, 1.0, 13, 10.0, 75, 2.0]"
Ho1Al10Re2,"[67, 1.0, 13, 10.0, 75, 2.0]"
Er1Al10Re2,"[68, 1.0, 13, 10.0, 75, 2.0]"
Tm1Al10Re2,"[69, 1.0, 13, 10.0, 75, 2.0]"
Lu1Al10Re2,"[71, 1.0, 13, 10.0, 75, 2.0]"
