new_formula,composition_vector
Zn1H12C2N6Cl4,"[30, 1.0, 1, 12.0, 6, 2.0, 7, 6.0, 17, 4.0]"
Sn1H12C2N6Cl6,"[50, 1.0, 1, 12.0, 6, 2.0, 7, 6.0, 17, 6.0]"
Hg1H12C2Br4N6,"[80, 1.0, 1, 12.0, 6, 2.0, 35, 4.0, 7, 6.0]"
Hg1H12C2I4N6,"[80, 1.0, 1, 12.0, 6, 2.0, 53, 4.0, 7, 6.0]"
Sb1H12C2N6F5,"[51, 1.0, 1, 12.0, 6, 2.0, 7, 6.0, 9, 5.0]"
Si1H12C2N6F6,"[14, 1.0, 1, 12.0, 6, 2.0, 7, 6.0, 9, 6.0]"
Ti1H12C2N6F6,"[22, 1.0, 1, 12.0, 6, 2.0, 7, 6.0, 9, 6.0]"
Zr1H12C2N6F6,"[40, 1.0, 1, 12.0, 6, 2.0, 7, 6.0, 9, 6.0]"
Fe1P1H12C4Cl4,"[26, 1.0, 15, 1.0, 1, 12.0, 6, 4.0, 17, 4.0]"
Fe1P1H12C4Br4,"[26, 1.0, 15, 1.0, 1, 12.0, 6, 4.0, 35, 4.0]"
Li1Ca2H1C3,"[3, 1.0, 20, 2.0, 1, 1.0, 6, 3.0]"
Na1H1C1O3,"[11, 1.0, 1, 1.0, 6, 1.0, 8, 3.0]"
K1H1C1O3,"[19, 1.0, 1, 1.0, 6, 1.0, 8, 3.0]"
Cs1H1C1O3,"[55, 1.0, 1, 1.0, 6, 1.0, 8, 3.0]"
H1C2N3,"[1, 1.0, 6, 2.0, 7, 3.0]"
K5H1C2N4,"[19, 5.0, 1, 1.0, 6, 2.0, 7, 4.0]"
Na2Y1H1C2O7,"[11, 2.0, 39, 1.0, 1, 1.0, 6, 2.0, 8, 7.0]"
Sb1H1C3N3Cl9,"[51, 1.0, 1, 1.0, 6, 3.0, 7, 3.0, 17, 9.0]"
Tb1H1C3O6,"[65, 1.0, 1, 1.0, 6, 3.0, 8, 6.0]"
U1H16C3N4O11,"[92, 1.0, 1, 16.0, 6, 3.0, 7, 4.0, 8, 11.0]"
