new_formula,composition_vector
Si1H10O4F6,"[14, 1.0, 1, 10.0, 8, 4.0, 9, 6.0]"
Na1Al1Si1,"[11, 1.0, 13, 1.0, 14, 1.0]"
Na1Si1,"[11, 1.0, 14, 1.0]"
Na1Si1Au3,"[11, 1.0, 14, 1.0, 79, 3.0]"
Na1Si2Pd3,"[11, 1.0, 14, 2.0, 46, 3.0]"
Rb7Na1Si8,"[37, 7.0, 11, 1.0, 14, 8.0]"
Cs7Na1Si8,"[55, 7.0, 11, 1.0, 14, 8.0]"
Sr1Al1Si1H1,"[38, 1.0, 13, 1.0, 14, 1.0, 1, 1.0]"
Ba1Al1Si1H1,"[56, 1.0, 13, 1.0, 14, 1.0, 1, 1.0]"
Ba1Ga1Si1H1,"[56, 1.0, 31, 1.0, 14, 1.0, 1, 1.0]"
Ce1Si1H1Ru1,"[58, 1.0, 14, 1.0, 1, 1.0, 44, 1.0]"
Y5Si3H1,"[39, 5.0, 14, 3.0, 1, 1.0]"
Na2In2Si1S6,"[11, 2.0, 49, 2.0, 14, 1.0, 16, 6.0]"
Na2Si2S5,"[11, 2.0, 14, 2.0, 16, 5.0]"
Na2Si2Se5,"[11, 2.0, 14, 2.0, 34, 5.0]"
Si1H12C2N6F6,"[14, 1.0, 1, 12.0, 6, 2.0, 7, 6.0, 9, 6.0]"
K2Na3Si1P3,"[19, 2.0, 11, 3.0, 14, 1.0, 15, 3.0]"
Na3Si1Se4,"[11, 3.0, 14, 1.0, 34, 4.0]"
Na3Si1Te3,"[11, 3.0, 14, 1.0, 52, 3.0]"
Na1Li1Si1B3H1O8,"[11, 1.0, 3, 1.0, 14, 1.0, 5, 3.0, 1, 1.0, 8, 8.0]"
Li1Ca2Mn2Si5H1O15,"[3, 1.0, 20, 2.0, 25, 2.0, 14, 5.0, 1, 1.0, 8, 15.0]"
Na4Mg1Si2Se6,"[11, 4.0, 12, 1.0, 14, 2.0, 34, 6.0]"
Na4Si1Se4,"[11, 4.0, 14, 1.0, 34, 4.0]"
Na4Si2Te5,"[11, 4.0, 14, 2.0, 52, 5.0]"
Na1Be1Si3H1O8,"[11, 1.0, 4, 1.0, 14, 3.0, 1, 1.0, 8, 8.0]"
Si1H14O6F6,"[14, 1.0, 1, 14.0, 8, 6.0, 9, 6.0]"
Na5Si1P3,"[11, 5.0, 14, 1.0, 15, 3.0]"
Na5Si1As3,"[11, 5.0, 14, 1.0, 33, 3.0]"
Na6Si2Se7,"[11, 6.0, 14, 2.0, 34, 7.0]"
Si1H17S3N5,"[14, 1.0, 1, 17.0, 16, 3.0, 7, 5.0]"
K2In1Si4H1O11,"[19, 2.0, 49, 1.0, 14, 4.0, 1, 1.0, 8, 11.0]"
K2Na1Ca2Ti1Si7H1O20,"[19, 2.0, 11, 1.0, 20, 2.0, 22, 1.0, 14, 7.0, 1, 1.0, 8, 20.0]"
K1Si1H1O3,"[19, 1.0, 14, 1.0, 1, 1.0, 8, 3.0]"
Na1Ca1Si1H1O4,"[11, 1.0, 20, 1.0, 14, 1.0, 1, 1.0, 8, 4.0]"
Na1Zn1Si1H1O4,"[11, 1.0, 30, 1.0, 14, 1.0, 1, 1.0, 8, 4.0]"
Rb5Si1H1O5,"[37, 5.0, 14, 1.0, 1, 1.0, 8, 5.0]"
K1Si2H1O5,"[19, 1.0, 14, 2.0, 1, 1.0, 8, 5.0]"
Na1Ca2Si3H1O9,"[11, 1.0, 20, 2.0, 14, 3.0, 1, 1.0, 8, 9.0]"
Na2Al1Si3H1O9,"[11, 2.0, 13, 1.0, 14, 3.0, 1, 1.0, 8, 9.0]"
Mg1Si1P2,"[12, 1.0, 14, 1.0, 15, 2.0]"
Mg1Cu2Si1S4,"[12, 1.0, 29, 2.0, 14, 1.0, 16, 4.0]"
Ca1Mg1Si1,"[20, 1.0, 12, 1.0, 14, 1.0]"
Mg1Cu2Si1Se4,"[12, 1.0, 29, 2.0, 14, 1.0, 34, 4.0]"
Mg1Si1As2,"[12, 1.0, 14, 1.0, 33, 2.0]"
Sr1Mg1Si1,"[38, 1.0, 12, 1.0, 14, 1.0]"
Ba1Mg1Si1,"[56, 1.0, 12, 1.0, 14, 1.0]"
Eu1Mg1Si1,"[63, 1.0, 12, 1.0, 14, 1.0]"
Sr1Mg1Si2,"[38, 1.0, 12, 1.0, 14, 2.0]"
Y2Mg1Si2,"[39, 2.0, 12, 1.0, 14, 2.0]"
La1Mg1Si2,"[57, 1.0, 12, 1.0, 14, 2.0]"
La2Mg1Si2,"[57, 2.0, 12, 1.0, 14, 2.0]"
Ce1Mg1Si2,"[58, 1.0, 12, 1.0, 14, 2.0]"
Ce2Mg1Si2,"[58, 2.0, 12, 1.0, 14, 2.0]"
Pr1Mg1Si2,"[59, 1.0, 12, 1.0, 14, 2.0]"
Pr2Mg1Si2,"[59, 2.0, 12, 1.0, 14, 2.0]"
Nd1Mg1Si2,"[60, 1.0, 12, 1.0, 14, 2.0]"
Nd2Mg1Si2,"[60, 2.0, 12, 1.0, 14, 2.0]"
Sm2Mg1Si2,"[62, 2.0, 12, 1.0, 14, 2.0]"
Gd2Mg1Si2,"[64, 2.0, 12, 1.0, 14, 2.0]"
Tb2Mg1Si2,"[65, 2.0, 12, 1.0, 14, 2.0]"
Dy2Mg1Si2,"[66, 2.0, 12, 1.0, 14, 2.0]"
Ho2Mg1Si2,"[67, 2.0, 12, 1.0, 14, 2.0]"
Er2Mg1Si2,"[68, 2.0, 12, 1.0, 14, 2.0]"
Tm2Mg1Si2,"[69, 2.0, 12, 1.0, 14, 2.0]"
Mg1Si7Ir3,"[12, 1.0, 14, 7.0, 77, 3.0]"
Si2H2S3,"[14, 2.0, 1, 2.0, 16, 3.0]"
Mg15Si2Ir5,"[12, 15.0, 14, 2.0, 77, 5.0]"
Ba5Mg18Si13,"[56, 5.0, 12, 18.0, 14, 13.0]"
Mg2Si1,"[12, 2.0, 14, 1.0]"
Mg2Si1S4,"[12, 2.0, 14, 1.0, 16, 4.0]"
Mg2Si1Ni3,"[12, 2.0, 14, 1.0, 28, 3.0]"
Mg2Cu3Si1,"[12, 2.0, 29, 3.0, 14, 1.0]"
Mg2Si1Se4,"[12, 2.0, 14, 1.0, 34, 4.0]"
Mg2Si1Pt1,"[12, 2.0, 14, 1.0, 78, 1.0]"
Ba1Mg2Si2,"[56, 1.0, 12, 2.0, 14, 2.0]"
