new_formula,composition_vector
La2Cu1O4,"[57, 2.0, 29, 1.0, 8, 4.0]"
Y1Ba2Cu3O7,"[39, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Y1Ba2Cu3S1O6,"[39, 1.0, 56, 2.0, 29, 3.0, 16, 1.0, 8, 6.0]"
Eu1Ba2Cu3O7,"[63, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Gd1Ba2Cu3O7,"[64, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Dy1Ba2Cu3O7,"[66, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Ho1Ba2Cu3O7,"[67, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Er1Ba2Cu3O7,"[68, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Tm1Ba2Cu3O7,"[69, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Nd1Ba2Cu3O7,"[60, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Sm1Ba2Cu3O7,"[62, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Y1Ba2Cu3O6,"[39, 1.0, 56, 2.0, 29, 3.0, 8, 6.0]"
Gd1Ba2Cu3S1O6,"[64, 1.0, 56, 2.0, 29, 3.0, 16, 1.0, 8, 6.0]"
La3Ba3Cu6O14,"[57, 3.0, 56, 3.0, 29, 6.0, 8, 14.0]"
Y2La1Ba3Cu6O14,"[39, 2.0, 57, 1.0, 56, 3.0, 29, 6.0, 8, 14.0]"
La1Ba2Cu3O7,"[57, 1.0, 56, 2.0, 29, 3.0, 8, 7.0]"
Bi2Ca1Sr2Cu2O8,"[83, 2.0, 20, 1.0, 38, 2.0, 29, 2.0, 8, 8.0]"
Ba1Bi1O3,"[56, 1.0, 83, 1.0, 8, 3.0]"
Ba1Pb1O3,"[56, 1.0, 82, 1.0, 8, 3.0]"
Nd2Cu1O4,"[60, 2.0, 29, 1.0, 8, 4.0]"
Bi2Sr2Ca1Cu2O8,"[83, 2.0, 38, 2.0, 20, 1.0, 29, 2.0, 8, 8.0]"
Tl2Ba2Ca1Cu2O8,"[81, 2.0, 56, 2.0, 20, 1.0, 29, 2.0, 8, 8.0]"
Tl2Ba2Ca2Cu3O10,"[81, 2.0, 56, 2.0, 20, 2.0, 29, 3.0, 8, 10.0]"
Tl2Ba2Cu1O6,"[81, 2.0, 56, 2.0, 29, 1.0, 8, 6.0]"
